Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Coached,Not Flagged,9096-1480Z,19-Apr-18,Category 2,195,Incomplete Stop at Light,11002,1800
Not In Queue,Not Flagged,9096-147ZQ,19-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),10028,911
Not In Queue,Not Flagged,9096-147Z5,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6030,423
Not In Queue,Not Flagged,9096-147YW,19-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),10055,808
Queued,Not Flagged,9096-147YB,19-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),10055,808
Not In Queue,Not Flagged,9096-147X6,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10004,950
Queued,Not Flagged,9096-147T7,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12047,609
Queued,Not Flagged,9096-147SB,19-Apr-18,Category 3,200,Curb Check/Jumped Curb,9013,275
,Not Flagged,9096-147RJ,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,16207,1041
Queued,Not Flagged,9096-147RC,19-Apr-18,Category 3,226,Unsafe Braking,9013,275
Not In Queue,Not Flagged,9096-147QP,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7022,2196
Not In Queue,Not Flagged,9096-147Q9,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13003,515
Queued,Not Flagged,9096-147PJ,16-Apr-18,Category 3,226,Unsafe Braking,17036,2164
Queued,Not Flagged,9096-147PF,16-Apr-18,Category 3,226,Unsafe Braking,17036,2164
Queued,Not Flagged,9096-147MT,19-Apr-18,Category 3,226,Unsafe Braking,12022,7
Coached,Not Flagged,9096-147KM,19-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9932,864
Queued,Not Flagged,9096-148X4,20-Apr-18,Category 4,324,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Following (<= 1 second)",5070,2123
Queued,Not Flagged,9096-148VP,20-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,16209,2123
Queued,Not Flagged,9096-148TC,20-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10019,2123
Queued,Not Flagged,9096-148SW,20-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),9104,2123
Queued,Not Flagged,9096-148PD,20-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9948,2123
Queued,Not Flagged,9096-148H1,19-Apr-18,Category 3,226,Unsafe Braking,17020,1288
Not In Queue,Not Flagged,9096-148DE,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17043,2106
Not In Queue,Not Flagged,9096-148BW,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17014,87
Not In Queue,Not Flagged,9096-148B1,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15017,2123
Queued,Not Flagged,9096-148A2,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,13004,2031
Queued,Not Flagged,9096-1488V,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7044,1695
Not In Queue,Not Flagged,9096-1487P,19-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),7002,17
Not In Queue,Not Flagged,9096-1485F,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13010,2031
Coached,Not Flagged,9096-1482Q,19-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),6020,146
Coached,Not Flagged,9096-1482A,19-Apr-18,Category 2,195,Incomplete Stop at Light,206,146
Not In Queue,Not Flagged,9096-1481R,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10064,1236
Queued,Not Flagged,9096-147K3,19-Apr-18,Category 3,224,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Following (2.25 - 3 seconds)",12020,181
Not In Queue,Not Flagged,9096-147K2,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9006,828
,Not Flagged,9096-147JZ,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12207,2022
Queued,Not Flagged,9096-147HC,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10051,1052
Queued,Not Flagged,9096-147GE,19-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),7006,929
Queued,Not Flagged,9096-147FT,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7010,1604
Queued,Not Flagged,9096-147BT,12-Apr-18,Category 2,195,Incomplete Stop at Light,17011,1623
Not In Queue,Not Flagged,9096-147BQ,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17011,1559
Queued,Not Flagged,9096-1479B,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17043,2106
Queued,Not Flagged,9096-1478J,18-Apr-18,Category 3,226,Unsafe Braking,17033,222
Queued,Not Flagged,9096-1477T,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17031,738
Queued,Not Flagged,9096-1476X,17-Apr-18,Category 2,195,Incomplete Stop at Light,9020,1785
Queued,Not Flagged,9096-1476Q,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9092,2123
Not In Queue,Not Flagged,9096-14756,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17031,738
Queued,Not Flagged,9096-14749,18-Apr-18,Category 2,195,Incomplete Stop at Light,17018,911
Not In Queue,Not Flagged,9096-14743,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17009,87
Queued,Not Flagged,9096-1473A,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10015,2123
Queued,Not Flagged,9096-14726,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10023,2123
Not In Queue,Not Flagged,9096-14720,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6019,423
Queued,Not Flagged,9096-1471Y,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9964,2123
,Not Flagged,9096-1471N,18-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),16212,1439
Queued,Not Flagged,9096-1471K,18-Apr-18,Category 2,195,Incomplete Stop at Light,17001,542
Queued,Not Flagged,9096-146Y8,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9965,2123
Queued,Not Flagged,9096-146W2,17-Apr-18,Category 4,275,Unsafe Following (<= 1 second),208,1412
Queued,Not Flagged,9096-146VX,18-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),7022,2056
Queued,Not Flagged,9096-146TW,18-Apr-18,Category 2,195,Incomplete Stop at Light,12042,609
Queued,Not Flagged,9096-146S7,18-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),15020,1477
,Not Flagged,9096-146S3,18-Apr-18,Category 2,195,Incomplete Stop at Light,17222,2205
Queued,Not Flagged,9096-146RF,18-Apr-18,Category 3,226,Unsafe Lane Change/Merging/Passing,10037,409
Not In Queue,Not Flagged,9096-146RE,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9051,2139
Queued,Not Flagged,9096-146RA,18-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),15009,1048
,Not Flagged,9096-146QT,18-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),11011,338
Not In Queue,Not Flagged,9096-146PP,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12021,1385
Queued,Not Flagged,9096-146P7,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10066,1236
Queued,Not Flagged,9096-146KG,18-Apr-18,Category 4,275,Unattended Moving Vehicle,10037,982
Queued,Not Flagged,9096-146JG,18-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),15018,1012
Not In Queue,Not Flagged,9096-146HT,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9094,2234
Queued,Not Flagged,9096-146GC,18-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),15020,1477
Queued,Not Flagged,9096-146EC,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10066,1593
Queued,Not Flagged,9096-146C2,18-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10022,1883
Queued,Not Flagged,9096-146BH,18-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9033,1323
Not In Queue,Not Flagged,9096-146B6,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9018,1196
Not In Queue,Not Flagged,9096-146B0,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9018,1196
Queued,Not Flagged,9096-146AZ,16-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9018,1196
Queued,Not Flagged,9096-146AY,16-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9018,1196
Not In Queue,Not Flagged,9096-146AW,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9018,1196
Queued,Not Flagged,9096-1469M,18-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),10029,277
Not In Queue,Not Flagged,9096-14695,18-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14019,450
,Not Flagged,9096-1468D,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12207,2109
,Not Flagged,9096-14685,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12207,2109
Queued,Not Flagged,9096-14684,18-Apr-18,Category 4,385,"Beverage, Incomplete Stop at Stop Sign",9937,282
Queued,Not Flagged,9096-1462B,17-Apr-18,Category 3,226,Unsafe Lane Change/Merging/Passing,13039,2123
Queued,Not Flagged,9096-14622,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17038,1502
Queued,Not Flagged,9096-1460A,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7034,1231
Queued,Not Flagged,9096-145WK,17-Apr-18,Category 4,421,"Incomplete Stop at Stop Sign, Unsafe Braking",17001,1729
Queued,Not Flagged,9096-145VQ,17-Apr-18,Category 4,275,Excessive Speeding (> 10 mph Over Limit),15013,2123
Not In Queue,Not Flagged,9096-145V7,17-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13037,2123
Queued,Not Flagged,9096-145TR,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12006,416
Not In Queue,Not Flagged,9096-145TP,17-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7021,1685
Not In Queue,Not Flagged,9096-145TJ,17-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12013,910
Queued,Not Flagged,9096-145SM,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9937,956
Queued,Not Flagged,9096-145RV,17-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),13003,357
Queued,Not Flagged,9096-145PY,17-Apr-18,Category 4,275,Failure to Attempt to Stop at Light,15018,2159
Not In Queue,Not Flagged,9096-145PN,17-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14007,1657
Queued,Not Flagged,9096-145NP,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,13001,607
Queued,Not Flagged,9096-145H9,10-Apr-18,Category 4,275,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Following (1.25 - 2 seconds)",9031,1504
Not In Queue,Flagged,9096-145H5,10-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9031,1504
Queued,Not Flagged,9096-145G3,10-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9031,1504
,Not Flagged,9096-145FX,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12206,1363
Queued,Not Flagged,9096-145FW,11-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),17028,2123
Queued,Not Flagged,9096-145EH,13-Apr-18,Category 2,195,Incomplete Stop at Light,9006,828
Queued,Not Flagged,9096-145EE,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9006,828
Coached,Not Flagged,9096-145DC,16-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),9008,1763
Coached,Not Flagged,9096-145CY,16-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9008,1763
Coached,Not Flagged,9096-145CV,16-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9008,1763
Not In Queue,Not Flagged,9096-145CH,17-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6013,1835
Queued,Not Flagged,9096-145A0,10-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),17033,20
Queued,Not Flagged,9096-1459Y,10-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),17033,20
Queued,Not Flagged,9096-1459N,10-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),17033,20
Queued,Not Flagged,9096-14597,17-Apr-18,Category 4,501,"Unsafe Backing, Unsafe Braking",9941,2123
Queued,Not Flagged,9096-14574,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,6005,1305
Not In Queue,Flagged,9096-1455M,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),4009,1593
Queued,Not Flagged,9096-14559,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10033,1883
Queued,Not Flagged,9096-14552,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7015,813
Queued,Not Flagged,9096-1454R,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10032,465
Coached,Not Flagged,9096-1454F,16-Apr-18,Category 4,275,Unsafe Following (<= 1 second),10023,2258
Not In Queue,Not Flagged,9096-1453G,17-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7024,1401
Coached,Not Flagged,9096-1450T,13-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),14003,1055
Not In Queue,Not Flagged,9096-1450S,13-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),14003,2123
Coached,Not Flagged,9096-1450N,13-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),14003,1055
Coached,Not Flagged,9096-1450M,13-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),14003,1055
Queued,Not Flagged,9096-144WJ,17-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9018,2123
Coached,Not Flagged,9096-144VP,16-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17006,1305
Not In Queue,Not Flagged,9096-144VA,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17003,87
Not In Queue,Not Flagged,9096-144SH,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17046,43
Not In Queue,Not Flagged,9096-144SE,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17046,43
Queued,Not Flagged,9096-144QR,16-Apr-18,Category 4,452,"Not Scanning Road Ahead, Unsafe Braking",7034,1561
Coached,Not Flagged,9096-144PV,16-Apr-18,Category 3,226,Unsafe Braking,17049,56
Queued,Not Flagged,9096-144M0,16-Apr-18,Category 4,275,Unsafe Following (<= 1 second),12025,1080
Coached,Not Flagged,9096-144JA,16-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),213,843
Not In Queue,Not Flagged,9096-144J6,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12020,779
Queued,Not Flagged,9096-144FY,16-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9950,607
Not In Queue,Not Flagged,9096-144FE,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7051,979
,Not Flagged,9096-144BZ,16-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),14017,336
Coached,Not Flagged,9096-1445A,16-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7029,51
Queued,Not Flagged,9096-1442S,16-Apr-18,Category 2,195,Incomplete Stop at Light,10066,547
Queued,Not Flagged,9096-1441F,16-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9003,1918
Not In Queue,Not Flagged,9096-1440F,16-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12001,1172
Queued,Not Flagged,9096-143Z6,16-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,11022,1883
Queued,Not Flagged,9096-143Z2,16-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),7013,929
Coached,Not Flagged,9096-143XW,11-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),4003,1068
Coached,Not Flagged,9096-143VR,05-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,11009,782
,Not Flagged,9096-143VA,11-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17209,1363
Not In Queue,Not Flagged,9096-143TR,15-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17035,886
Not In Queue,Not Flagged,9096-143RT,15-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17024,1592
Coached,Not Flagged,9096-143NJ,14-Apr-18,Category 2,195,Incomplete Stop at Light,17005,329
,Not Flagged,9096-143K7,14-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17205,12
Coached,Not Flagged,9096-143J9,14-Apr-18,Category 3,200,Curb Check/Jumped Curb,12016,1514
Queued,Not Flagged,9096-143HF,14-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,8101,2123
Not In Queue,Not Flagged,9096-143GA,14-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7031,1800
Coached,Not Flagged,9096-143G0,14-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12016,1514
Not In Queue,Not Flagged,9096-143FT,14-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),10029,1031
Coached,Not Flagged,9096-143FB,14-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),17002,321
Not In Queue,Not Flagged,9096-143C8,14-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9026,1928
Not In Queue,Not Flagged,9096-143BN,14-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12009,326
Queued,Not Flagged,9096-143B2,14-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),12005,2123
Coached,Not Flagged,9096-143AQ,14-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),10029,1092
Coached,Not Flagged,9096-143A9,14-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),14017,1634
Queued,Not Flagged,9096-1439Z,14-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),12025,732
Not In Queue,Not Flagged,9096-1439T,14-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7025,605
Not In Queue,Not Flagged,9096-1439K,14-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9035,669
Queued,Not Flagged,9096-14395,14-Apr-18,Category 2,175,"Unsafe Following (2.25 - 3 seconds), Yawning",12017,1592
Not In Queue,Not Flagged,9096-14392,14-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7025,605
Queued,Not Flagged,9096-1436C,13-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),17042,1185
Queued,Not Flagged,9096-1431W,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17012,609
Queued,Not Flagged,9096-14311,13-Apr-18,Category 4,275,Excessive Speeding (> 10 mph Over Limit),13004,2123
Coached,Not Flagged,9096-1430W,13-Apr-18,Category 4,275,Excessive Speeding (> 10 mph Over Limit),17073,1182
Queued,Not Flagged,9096-142ZJ,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7083,36
Not In Queue,Not Flagged,9096-142Z3,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11012,338
Coached,Flagged,9096-142V8,13-Apr-18,Category 2,195,Incomplete Stop at Light,202,2191
Not In Queue,Not Flagged,9096-142TG,13-Apr-18,Category 2,98,"Moderate Speeding (<= 10 mph Over Limit), Other Task",12017,52
Queued,Not Flagged,9096-142TA,10-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9932,1237
Not In Queue,Not Flagged,9096-142T3,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10068,669
Queued,Not Flagged,9096-142S4,13-Apr-18,Category 2,190,Unsafe Turning,13044,1048
Not In Queue,Not Flagged,9096-142Q3,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13033,1361
Queued,Not Flagged,9096-142P0,13-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),15015,1692
Queued,Not Flagged,9096-142MA,03-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9051,1415
Queued,Not Flagged,9096-142JH,13-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),9037,627
Not In Queue,Not Flagged,9096-142DA,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12010,915
Queued,Not Flagged,9096-142CP,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,10017,647
Not In Queue,Not Flagged,9096-142BP,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7025,2196
Not In Queue,Not Flagged,9096-142BD,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13043,2057
Queued,Not Flagged,9096-142B2,13-Apr-18,Category 4,275,Unsafe Following (<= 1 second),9028,1075
Not In Queue,Not Flagged,9096-142AP,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11002,2229
Coached,Not Flagged,9096-142AK,12-Apr-18,Category 4,452,"Unsafe Braking, Unsafe Following (1.25 - 2 seconds)",17077,1904
Queued,Not Flagged,9096-1429T,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,6022,2204
Queued,Not Flagged,9096-1429F,13-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9051,1335
Coached,Not Flagged,9096-1428W,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12048,1559
Not In Queue,Not Flagged,9096-1428H,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17001,542
Not In Queue,Not Flagged,9096-1426Y,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10028,472
Not In Queue,Not Flagged,9096-1426Q,13-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10028,472
Queued,Not Flagged,9096-14263,13-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),7005,929
Queued,Not Flagged,9096-14252,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,11005,1883
Queued,Not Flagged,9096-14214,13-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9029,227
Not In Queue,Not Flagged,9096-14200,13-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),9029,2123
Queued,Not Flagged,9096-141ZM,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,11005,1883
Queued,Not Flagged,9096-141Z2,13-Apr-18,Category 2,195,Incomplete Stop at Light,7019,1705
Coached,Not Flagged,9096-141YY,13-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,13043,2057
Not In Queue,Not Flagged,9096-141R0,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15005,2123
Not In Queue,Not Flagged,9096-141NX,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17016,216
,Not Flagged,9096-141NF,12-Apr-18,Category 4,275,Unsafe Following (<= 1 second),17208,398
Coached,Not Flagged,9096-141M0,12-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),14015,1970
Queued,Not Flagged,9096-141KX,12-Apr-18,Category 3,226,"Unsafe Following (1.25 - 2 seconds), Yawning",7009,2147
Queued,Not Flagged,9096-141KQ,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9954,2053
Not In Queue,Not Flagged,9096-141GZ,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14008,1698
Queued,Not Flagged,9096-141GS,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9934,908
Queued,Not Flagged,9096-141G8,12-Apr-18,Category 3,226,"Near Collision with Vehicle in Transport, Not Scanning Road Ahead, Yawning",7016,1538
Coached,Not Flagged,9096-141FX,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17029,766
,Not Flagged,9096-141F4,12-Apr-18,Category 4,275,Unsafe Following (<= 1 second),17223,2123
Queued,Not Flagged,9096-141EF,12-Apr-18,Category 3,226,"Near Collision with Vehicle in Transport, Not Scanning Road Ahead",13008,334
,Not Flagged,9096-141C2,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,15225,651
Queued,Not Flagged,9096-1419W,12-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),10068,1401
Not In Queue,Not Flagged,9096-1419S,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6021,146
Not In Queue,Not Flagged,9096-14196,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7015,929
Coached,Not Flagged,9096-1417X,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,13034,2057
Not In Queue,Not Flagged,9096-1415Y,12-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),17030,1952
Queued,Not Flagged,9096-14147,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,9041,1991
Coached,Not Flagged,9096-1412R,12-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,7084,1586
Coached,Flagged,9096-1411M,12-Apr-18,Category 3,226,"Near Collision with Pedestrian, Not Scanning Intersection",5065,103
Queued,Not Flagged,9096-140WZ,11-Apr-18,Category 3,226,Unsafe Braking,17040,923
Queued,Not Flagged,9096-140WT,12-Apr-18,Category 4,275,Excessive Speeding (> 10 mph Over Limit),13041,2123
Coached,Not Flagged,9096-140T7,04-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,5065,103
Queued,Not Flagged,9096-140RS,11-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),13010,357
Not In Queue,Not Flagged,9096-140PY,11-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14010,535
Queued,Not Flagged,9096-140N9,11-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17014,811
,Not Flagged,9096-140N8,11-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12226,651
,Not Flagged,9096-140MV,11-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),17203,291
Queued,Not Flagged,9096-140M7,11-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),12013,1080
Queued,Not Flagged,9096-140M3,11-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,13006,2123
,Not Flagged,9096-140KP,11-Apr-18,Category 2,195,Incomplete Stop at Light,15201,933
Queued,Not Flagged,9096-140K8,11-Apr-18,Category 2,175,Unsafe Following (2.25 - 3 seconds),9012,720
Coached,Not Flagged,9096-140K6,11-Apr-18,Category 4,365,"Unsafe Following (2.25 - 3 seconds), Unsafe Turning",9094,805
,Flagged,9096-140HK,10-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12219,2048
Not In Queue,Not Flagged,9096-140GW,11-Apr-18,Category 2,98,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Following (3.25 - 4 seconds)",9012,720
,Not Flagged,9096-140GN,11-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,17220,2217
Not In Queue,Not Flagged,9096-140GH,11-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7013,1237
Not In Queue,Not Flagged,9096-140FJ,11-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10068,669
