Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Not In Queue,Not Flagged,9096-RKNT,25-Mar-17,Category 1,49,Unsafe Following (3.25 - 4 seconds),14212,1301
Not In Queue,Not Flagged,9096-RKKC,29-Mar-17,Category 2,190,Unsafe Turning,9095,2123
Not In Queue,Not Flagged,9096-RKHE,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,686
Not In Queue,Not Flagged,9096-RKGH,29-Mar-17,Category 2,195,Incomplete Stop at Light,6104,686
Coached,Not Flagged,9096-RKF3,29-Mar-17,Category 4,275,Failure to Attempt to Stop at Light,15208,742
Not In Queue,Not Flagged,9096-RKDZ,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6104,686
Not In Queue,Not Flagged,9096-RKCR,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6104,686
Not In Queue,Not Flagged,9096-RK96,29-Mar-17,Category 2,195,Incomplete Stop at Light,6104,686
Not In Queue,Not Flagged,9096-RK51,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,686
Aged out,Not Flagged,9096-RK3D,29-Mar-17,Category 3,226,Unsafe Braking,11016,368
Not In Queue,Not Flagged,9096-RK1Y,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6104,686
Coached,Flagged,9096-RK1Q,29-Mar-17,Category 3,226,"Near Collision with Vehicle in Transport, Unsafe Braking",9991,1796
Aged out,Not Flagged,9096-RJY7,29-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),6104,686
Coached,Not Flagged,9096-RJXZ,29-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),4007,564
Not In Queue,Not Flagged,9096-RJWX,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9967,1180
Not In Queue,Not Flagged,9096-RJWW,29-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),9941,771
Coached,Not Flagged,9096-RJWM,29-Mar-17,Category 4,275,Unsafe Following (<= 1 second),15218,1123
Not In Queue,Not Flagged,9096-RJVX,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,15207,742
Not In Queue,Not Flagged,9096-RJV0,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,14218,990
Not In Queue,Not Flagged,9096-RJSA,29-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),14009,2123
Not In Queue,Not Flagged,9096-RJRM,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11002,760
Not In Queue,Not Flagged,9096-RJKQ,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15023,2255
Not In Queue,Not Flagged,9096-RJK4,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14002,2166
Coached,Not Flagged,9096-RJK3,29-Mar-17,Category 3,200,Curb Check/Jumped Curb,12001,1482
Not In Queue,Not Flagged,9096-RJHX,29-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),15006,929
Not In Queue,Not Flagged,9096-RJHA,29-Mar-17,Category 2,195,Incomplete Stop at Light,13004,2159
Not In Queue,Not Flagged,9096-RJH0,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,7009,1398
Not In Queue,Not Flagged,9096-RJGZ,29-Mar-17,Category 2,195,Incomplete Stop at Light,9959,517
Aged out,Not Flagged,9096-RJGJ,29-Mar-17,Category 3,226,Unsafe Braking,13005,1367
Aged out,Not Flagged,9096-RJGH,24-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),7025,2047
Not In Queue,Not Flagged,9096-RJFQ,29-Mar-17,Category 2,175,Unsafe Following (2.25 - 3 seconds),16004,998
Not In Queue,Not Flagged,9096-RJE7,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,7056,250
Coached,Not Flagged,9096-RJDV,29-Mar-17,Category 3,226,Unsafe Braking,12018,1125
Not In Queue,Not Flagged,9096-RJDT,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,6102,2067
